page,index,province,city,xkz_num,company_name,industry,valid_period,publish_date,mgmt_type,pdf_filename,file_size,status,detail_url,download_url
3,1,吉林省,延边朝鲜族自治州,91222404662467971D001X,珲春正通经贸有限公司北环加油站,机动车燃油零售,2023-05-28至2028-05-27,2023-04-19,简化管理,珲春正通经贸有限公司北环加油站_91222404662467971D001X_排污许可证副本.pdf,67237,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=7ec4a4bb89b14ee6864f63022053540d,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=883f2007c74d4b21a94bc6a23b31facb&dataid=7ec4a4bb89b14ee6864f63022053540d
3,2,吉林省,白城市,91220821598835861K001R,镇赉县金谷粮贸有限公司,谷物仓储,2026-08-02至2031-08-01,2026-07-27,简化管理,镇赉县金谷粮贸有限公司_91220821598835861K001R_排污许可证副本.pdf,64578,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=1f0c4fe6f0df449c8630904748c72b49,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=1188242965664cc881384cf805811776&dataid=1f0c4fe6f0df449c8630904748c72b49
3,3,吉林省,白城市,91220821081906639A001R,镇赉县国凯粮食收储有限公司,农产品初加工活动,2026-08-02至2031-08-01,2026-07-27,简化管理,镇赉县国凯粮食收储有限公司_91220821081906639A001R_排污许可证副本.pdf,520,SUCCESS,https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=9dc9005af6884c8ca93e4245aa1a2a23,https://permit.mee.gov.cn/perxxgkinfo/syssb/xkgg/xkgg!downloadFile.action?method=download&fileType=fbfile&datafileid=031c7c64042c4c5fa80ba4dcbbfa01df&dataid=9dc9005af6884c8ca93e4245aa1a2a23
3,4,吉林省,白城市,91220881MAD8QR636B001P,洮南绿源燃料有限公司,有机化学原料制造,2025-05-29至2030-05-28,2025-05-29,重点管理,洮南绿源燃料有限公司_91220881MAD8QR636B001P_排污许可证副本.pdf,0,FAILED (NO PDF LINK),https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=ff9a8e1a519c4ffc86b7404eed8491e5,
3,5,吉林省,白城市,91220802MAC08NAU4T001U,白城瑞谷源粮食收储有限责任公司,谷物仓储,2022-11-17至2027-11-16,2022-11-17,简化管理,白城瑞谷源粮食收储有限责任公司_91220802MAC08NAU4T001U_排污许可证副本.pdf,0,FAILED (NO PDF LINK),https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=e47c56a88a274b0585d4fedae14cacfb,
3,6,吉林省,白城市,122208224130285462001U,通榆县中医院（通榆县妇产医院）,中医医院,2026-08-25至2031-08-24,2026-07-31,简化管理,通榆县中医院（通榆县妇产医院）_122208224130285462001U_排污许可证副本.pdf,0,FAILED (NO PDF LINK),https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=d64cb3b906bf4012be47fe443cb0b4b7,
3,7,吉林省,吉林市,9122020378264175XP001V,吉林市正凡工贸有限公司,化学试剂和助剂制造,2025-10-17至2030-10-16,2025-10-17,重点管理,吉林市正凡工贸有限公司_9122020378264175XP001V_排污许可证副本.pdf,0,FAILED (NO PDF LINK),https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=ca0c516a41ac4c6fb7ca3b7dd7e536bb,
3,8,吉林省,长春市,9122010105053676XE001X,中国石油天然气股份有限公司吉林长春销售分公司超达加油站,机动车燃油零售,2023-07-16至2028-07-15,2023-04-17,简化管理,中国石油天然气股份有限公司吉林长春销售分公司超达加油站_9122010105053676XE001X_排污许可证副本.pdf,0,FAILED (NO PDF LINK),https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=cf0a1bcd38004714952e0c5e950a903a,
3,9,吉林省,长春市,91220100MAKAX0YX9M001Q,吉林油京成品油销售有限公司,机动车燃油零售,2026-08-20至2031-08-19,2026-07-31,简化管理,吉林油京成品油销售有限公司_91220100MAKAX0YX9M001Q_排污许可证副本.pdf,0,FAILED (NO PDF LINK),https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=93e3bc8d0bc643e389ea1c682054f7c8,
3,10,吉林省,长春市,91220101571145270J004V,中国第一汽车股份有限公司（繁荣工厂）,汽车整车制造,2026-07-31至2031-07-30,2026-07-31,重点管理,中国第一汽车股份有限公司（繁荣工厂）_91220101571145270J004V_排污许可证副本.pdf,0,FAILED (NO PDF LINK),https://permit.mee.gov.cn/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=550eb597171849c9b2e8aeca53798b37,
